LOCATION_ID,MATERIAL_ID,DATE,COUNT
10011019999,11,2024-03-08,1
10011019999,12,2024-03-08,1
10011019999,13,2024-03-08,1
100110110200,11,2024-09-09,1
100110110200,12,2024-09-09,1
100110110200,13,2024-09-09,1
100210110100,11,2024-09-12,2
100210110100,11,2024-09-16,1
100210110100,12,2024-09-12,1
100210110100,12,2024-09-16,1
100210110100,13,2024-09-16,1
100210110100,13,2024-09-17,1
100210110100,13,2024-10-01,1
100210110100,13,2024-10-02,1
100210110100,13,2024-10-04,1
100210110101,13,2024-10-02,1
100210110103,11,2024-09-17,1
100210110103,13,2024-09-17,1
100210110104,11,2024-09-17,1
100210110104,12,2024-09-17,1
100210110104,13,2024-09-17,1
100110110110001,11,2023-09-27,1
100110110110001,11,2023-10-05,1
100110110110001,11,2023-10-11,1
100110110110001,11,2023-10-17,1
100110110110001,11,2023-10-24,1
100110110110001,11,2023-11-02,1
100110110110001,11,2023-11-10,1
100110110110001,11,2023-11-14,1
100110110110001,11,2023-11-21,1
100110110110001,11,2023-11-29,1
100110110110001,11,2023-12-06,1
100110110110001,11,2023-12-13,1
100110110110001,11,2023-12-19,1
100110110110001,11,2023-12-22,1
100110110110001,11,2023-12-28,1
100110110110001,11,2024-01-03,1
100110110110001,11,2024-01-10,1
100110110110001,11,2024-01-11,1
100110110110001,11,2024-01-17,1
100110110110001,11,2024-01-24,1
100110110110001,11,2024-01-31,1
100110110110001,11,2024-02-07,1
100110110110001,11,2024-02-08,1
100110110110001,11,2024-02-14,1
100110110110001,11,2024-02-28,1
100110110110001,11,2024-03-06,1
100110110110001,11,2024-03-12,1
100110110110001,11,2024-03-15,1
100110110110001,11,2024-03-20,1
100110110110001,11,2024-03-28,1
100110110110001,11,2024-04-03,1
100110110110001,11,2024-04-09,1
100110110110001,11,2024-04-12,1
100110110110001,11,2024-04-16,1
100110110110001,11,2024-04-23,1
100110110110001,11,2024-04-30,1
100110110110001,11,2024-05-03,1
100110110110001,11,2024-05-07,1
100110110110001,11,2024-05-14,1
100110110110001,11,2024-05-23,1
100110110110001,11,2024-05-28,1
100110110110001,11,2024-05-31,2
100110110110001,11,2024-06-04,2
100110110110001,11,2024-06-11,2
100110110110001,11,2024-06-18,2
100110110110001,11,2024-06-21,2
100110110110001,11,2024-06-25,2
100110110110001,11,2024-07-09,2
100110110110001,11,2024-07-16,2
100110110110001,11,2024-07-17,2
100110110110001,11,2024-07-24,1
100110110110001,11,2024-07-31,1
100110110110001,11,2024-08-07,1
100110110110001,11,2024-08-09,1
100110110110001,11,2024-08-14,1
100110110110001,11,2024-08-16,1
100110110110001,11,2024-08-23,1
100110110110001,11,2024-08-29,1
100110110110001,11,2024-09-05,1
100110110110001,11,2024-09-12,1
100110110110001,11,2024-09-13,1
100110110110001,11,2024-09-19,1
100110110110001,11,2024-09-26,1
100110110110001,11,2024-09-27,1
100110110110001,11,2024-10-02,1
100110110110001,11,2024-10-10,1
100110110110001,11,2024-10-17,1
100110110110001,12,2023-09-27,1
100110110110001,12,2023-10-05,1
100110110110001,12,2023-10-11,1
100110110110001,12,2023-10-17,1
100110110110001,12,2023-10-24,1
100110110110001,12,2023-11-02,1
100110110110001,12,2023-11-10,1
100110110110001,12,2023-11-14,1
100110110110001,12,2023-11-21,1
100110110110001,12,2023-11-29,1
100110110110001,12,2023-12-06,1
100110110110001,12,2023-12-13,1
100110110110001,12,2023-12-19,1
100110110110001,12,2023-12-22,1
100110110110001,12,2023-12-28,1
100110110110001,12,2024-01-03,1
100110110110001,12,2024-01-10,1
100110110110001,12,2024-01-11,1
100110110110001,12,2024-01-17,1
100110110110001,12,2024-01-24,1
